               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.054634,             0.21452,                   0,              0.6106,             0.61775,             0.61141,             0.25789,              0.0536,             0.17331,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.054993,              0.2181,                   0,             0.62709,             0.61367,             0.62178,             0.25209,            0.053751,             0.17121,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.054488,             0.21329,                   0,             0.63598,              0.6281,             0.63769,             0.26126,            0.053205,             0.16845,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.054222,             0.20721,                   0,             0.63024,             0.62559,             0.62936,             0.26002,            0.053425,             0.17333,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.05455,             0.21503,                   0,              0.6427,             0.63092,             0.63793,             0.26857,            0.052982,             0.17201,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.054695,             0.21378,                   0,             0.63652,             0.61336,             0.63273,             0.26674,            0.052745,              0.1681,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.054877,              0.2199,                   0,             0.65795,             0.62904,             0.64689,             0.27044,            0.052713,             0.16729,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.054098,             0.21489,                   0,             0.61807,             0.62339,             0.62565,             0.26475,            0.053227,             0.17407,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.054026,             0.21062,                   0,             0.62964,             0.62277,             0.62973,             0.25862,            0.053231,             0.16888,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.054489,             0.21308,                   0,             0.61475,             0.61304,             0.61639,             0.25709,            0.053756,             0.17644,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.054401,             0.21236,                   0,             0.63827,             0.61681,             0.63293,             0.26901,            0.052946,              0.1698,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.054396,             0.21435,                   0,             0.61368,             0.60615,             0.60866,             0.25365,             0.05388,             0.17159,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.053607,             0.20613,                   0,             0.64179,             0.62966,             0.64204,             0.26651,            0.052756,             0.16799,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.053995,             0.21286,                   0,              0.6306,             0.60991,             0.62393,             0.26149,            0.053287,             0.17093,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.053771,             0.21147,                   0,             0.64285,             0.62496,             0.63743,             0.27105,            0.052642,             0.17159,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.054095,             0.20869,                   0,             0.62816,             0.62351,             0.63392,             0.26668,            0.052884,             0.17026,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.053568,             0.21016,                   0,             0.64805,             0.61377,             0.63459,              0.2711,            0.052746,             0.17113,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.05371,             0.21212,                   0,             0.64582,             0.62465,             0.64259,             0.26792,            0.052812,             0.16842,                   0,            0.000298,            0.000298,            0.000298
